time,temperature_2m (°F),weather_code (wmo code),relative_humidity_2m (%),wind_speed_10m (mp/h),cloud_cover (%),precipitation_probability (%),precipitation (inch)
2026-06-07T00:00,74,0,80,4,0,0,0
2026-06-07T01:00,73.5,0,80,3.9,0,1,0
2026-06-07T02:00,73.7,0,82,2.2,0,1,0
2026-06-07T03:00,72.5,0,83,3,0,1,0
2026-06-07T04:00,71.5,0,83,1.6,1,1,0
2026-06-07T05:00,70.4,0,86,1.2,3,1,0
2026-06-07T06:00,69.7,0,87,1.4,2,1,0
2026-06-07T07:00,70.2,2,90,3.2,50,1,0
2026-06-07T08:00,72.6,1,90,2.8,36,2,0
2026-06-07T09:00,76.2,2,88,3.6,64,2,0
2026-06-07T10:00,78,1,86,2,29,2,0
2026-06-07T11:00,80.1,1,79,2.6,40,3,0
2026-06-07T12:00,82.3,1,73,2.5,44,4,0
2026-06-07T13:00,84.4,3,69,1.8,100,6,0
2026-06-07T14:00,86.5,1,62,2,36,4,0
2026-06-07T15:00,86.9,2,62,0.8,50,4,0
2026-06-07T16:00,87.7,1,60,4.6,47,4,0
2026-06-07T17:00,89.3,1,51,7.1,36,4,0
2026-06-07T18:00,87.6,1,54,6.7,39,7,0
2026-06-07T19:00,86.1,3,52,6.4,99,3,0
2026-06-07T20:00,84,2,56,5.6,60,1,0
2026-06-07T21:00,81.5,2,57,3,64,1,0
2026-06-07T22:00,79.3,0,61,4.5,18,1,0
2026-06-07T23:00,76.7,3,76,4.9,100,1,0
2026-06-08T00:00,75.2,3,73,6.9,100,1,0
2026-06-08T01:00,74.6,3,81,4.2,87,1,0
2026-06-08T02:00,74,3,84,4.6,100,2,0
2026-06-08T03:00,73.5,3,87,4.6,100,2,0
2026-06-08T04:00,73,3,87,4.4,100,3,0
2026-06-08T05:00,72.5,3,89,4.4,100,4,0
2026-06-08T06:00,71.9,3,89,4.4,97,6,0
2026-06-08T07:00,72.2,3,89,5.5,100,10,0
2026-06-08T08:00,73.8,3,88,6.2,100,15,0
